"TIME","CURRENCY","CURRENCY_LABEL","STATINFO","UNIT","Value","Flag and Footnotes"
"2011","BGN","Bulgarian lev","Average","NAC","1.9558",""
"2011","CZK","Czech koruna","Average","NAC","24.590",""
"2011","DKK","Danish krone","Average","NAC","7.4506",""
"2011","HRK","Croatian kuna","Average","NAC","7.43900",""
"2011","HUF","Hungarian forint","Average","NAC","279.37",""
"2011","PLN","Polish zloty","Average","NAC","4.1206",""
"2011","RON","Romanian leu","Average","NAC","4.2391",""
"2011","SEK","Swedish krona","Average","NAC","9.0298",""
"2011","CHF","Swiss franc","Average","NAC","1.2326",""
"2011","ISK","Icelandic krona","Average","NAC","161.42",""
"2011","NOK","Norwegian krone","Average","NAC","7.7934",""
"2011","GBP","Pound sterling","Average","NAC","0.86788",""
"2011","ALL","Albanian lek","Average","NAC","140.33",""
"2011","MKD","Denar (of North Macedonia)","Average","NAC","61.5292",""
"2011","RSD","Serbian dinar","Average","NAC","101.9502",""
"2011","TRY","Turkish lira","Average","NAC","2.3378",""
"2011","AED","UAE dirham","Average","NAC","5.15314",""
"2011","AFN","Afghan afghani","Average","NAC","65.39088",""
"2011","AMD","Armenian dram","Average","NAC","518.77000",""
"2011","ANG","Netherlands Antillean guilder","Average","NAC","251.86300",""
"2011","AOA","Angolan kwanza","Average","NAC","131.32088",""
"2011","ARS","Argentine peso","Average","NAC","5.7440",""
"2011","AUD","Australian dollar","Average","NAC","1.3484",""
"2011","AWG","Aruban guilder","Average","NAC","250.60300",""
"2011","AZN","Azerbaijan manat","Average","NAC","1.09950",""
"2011","BAM","Bosnia and Herzegovina convertible mark","Average","NAC","1.95583",""
"2011","BBD","Barbados dollar","Average","NAC","2.81092",""
"2011","BDT","Bangladeshi taka","Average","NAC","104.87463",""
"2011","BHD","Bahraini dinar","Average","NAC","0.52776",""
"2011","BIF","Burundi franc","Average","NAC","1,769.09437",""
"2011","BMD","Bermuda dollar","Average","NAC","1.39221",""
"2011","BND","Brunei dollar","Average","NAC","1.75595",""
"2011","BOB","Bolivian boliviano","Average","NAC","9.65426",""
"2011","BRL","Brazilian real","Average","NAC","2.3265",""
"2011","BSD","Bahamian dollar","Average","NAC","1.40149",""
"2011","BTN","Bhutan ngultrum","Average","NAC","65.67830",""
"2011","BWP","Botswana pula","Average","NAC","0.10468",""
"2011","BYN","Belarusian rouble","Average","NAC",":",""
"2011","BZD","Belize dollar","Average","NAC","2.80182",""
"2011","CAD","Canadian dollar","Average","NAC","1.3761",""
"2011","CDF","Congolese franc","Average","NAC","1,282.86673",""
"2011","CLP","Chilean peso","Average","NAC","672.37900",""
"2011","CNY","Chinese renminbi-yuan","Average","NAC","8.9960",""
"2011","COP","Colombian peso","Average","NAC","2,569.55000",""
"2011","CRC","Costa Rican colón","Average","NAC","709.73705",""
"2011","CUC","Cuban convertible peso","Average","NAC","1.38117",""
