avatar,name,handle,description
https://pbs.twimg.com/profile_images/1353628347323002880/J7H3eawh_x96.jpg,Central European University,@ceu,"CEU is an English-language, US-accredited university in the heart of Europe with teaching and research in the social sciences, humanities, law and management."
https://pbs.twimg.com/profile_images/1385615645002326021/Zm5Xd5_2_x96.jpg,Neo4j,@neo4j,The #1 platform for connected data. Developers start here:
https://pbs.twimg.com/profile_images/845901590448029696/_-UP1KPH_x96.jpg,Yannis Koutsomitis,@YanniKouts,European affairs analyst. Managing Editor
https://pbs.twimg.com/profile_images/1399763851390840832/-wlvHTuN_x96.jpg,Hootsuite,@hootsuite,Social media news and tips from the global leader in social media management. Sign up for free:
https://pbs.twimg.com/profile_images/968270113383309317/LW8j6wCF_x96.jpg,Alex Arenas,@_AlexArenas,Physicist. Full Professor in Computer Science and Mathematics
https://pbs.twimg.com/profile_images/688022905196777473/FTuzHaM4_x96.jpg,WTO,@wto,Official account of the World Trade Organization. Check also:
https://pbs.twimg.com/profile_images/783729272913526784/_NiNU1uP_x96.jpg,Chicago Booth,@ChicagoBooth,The official account for
https://pbs.twimg.com/profile_images/1083759251615637505/aYvosfEI_x96.jpg,EPP,@EPP,The European People's Party; centre-right; largest political family in EU.
https://pbs.twimg.com/profile_images/1059460111419301889/Hfx6vaPS_x96.jpg,European Central Bank,@ecb,"The European Central Bank is the central bank for Europe's single currency, the euro. Its main task is to maintain the euro's purchasing power."
https://pbs.twimg.com/profile_images/339529936/manuchao_fond_nav_pages_x96.gif,Manu Chao,@manuchao,
https://pbs.twimg.com/profile_images/881804457964699649/7Dm9pbIE_x96.jpg,European Parliament,@Europarl_EN,Follow for the latest information from the European Parliament. Account managed by the Parliament's web team/tweets by Parliament's web team
https://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_x96.jpg,SpaceX,@SpaceX,"SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft"
https://pbs.twimg.com/profile_images/1336674338880319493/S0UMmjq4_x96.jpg,OECD,@OECD,The Organisation for Economic Co-operation & Development promotes better
https://pbs.twimg.com/profile_images/1343584679664873479/Xos3xQfk_x96.jpg,Google,@Google,
https://pbs.twimg.com/profile_images/877556953148424192/AmSe7JZk_x96.jpg,UVA,@UVA,"The official Twitter account of the University of Virginia, by University Communications."
