avatar,handle,followers
http://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_200x200.jpg,BarackObama,129.6M
http://pbs.twimg.com/profile_images/1365346288657715201/lRfQRoWl_200x200.jpg,justinbieber,113.9M
http://pbs.twimg.com/profile_images/1157313327867092993/a09TxL_1_200x200.jpg,Cristiano,92.2M
http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_200x200.jpg,realDonaldTrump,88.6M
http://pbs.twimg.com/profile_images/1400245545281544199/yvGE8sk4_200x200.jpg,ladygaga,83.6M
http://pbs.twimg.com/profile_images/1348306132125839360/5dBpeAGj_200x200.jpg,ArianaGrande,83.3M
http://pbs.twimg.com/profile_images/1398259947847233538/JXNWY7iv_200x200.jpg,YouTube,72.8M
http://pbs.twimg.com/profile_images/1282057272357683201/hm0ianWU_200x200.jpg,KimKardashian,69.6M
http://pbs.twimg.com/profile_images/1249934092994375680/xX66NSZP_200x200.jpg,narendramodi,68.9M
http://pbs.twimg.com/profile_images/1354479643882004483/Btnfm47p_200x200.jpg,Twitter,59.2M
http://pbs.twimg.com/profile_images/1403502766538981378/k8lgEJYY_200x200.jpg,elonmusk,57M
http://pbs.twimg.com/profile_images/988775660163252226/XpgonN0X_200x200.jpg,BillGates,55M
http://pbs.twimg.com/profile_images/1371667741464088580/BzjMQLkR_200x200.jpg,ddlovato,54.8M
http://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_200x200.png,nytimes,49.9M
http://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_200x200.jpg,BBCBreaking,47.8M
http://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_200x200.jpg,NASA,46.9M
http://pbs.twimg.com/profile_images/1262261228652675072/Pl_u58Pb_200x200.jpg,SrBachchan,45.7M
http://pbs.twimg.com/profile_images/1134090740592627712/0Fp-U5-p_200x200.png,PMOIndia,42.6M
http://pbs.twimg.com/profile_images/1268824832424022017/vUx5TGw7_200x200.jpg,BeingSalmanKhan,42.5M
http://pbs.twimg.com/profile_images/1393451192261304320/bKUpXvlc_200x200.jpg,imVkohli,42.5M
http://pbs.twimg.com/profile_images/1318511011117199362/htNsviXp_200x200.jpg,iamsrk,41.8M
http://pbs.twimg.com/profile_images/1263033005758545921/4K0V7QQi_200x200.jpg,akshaykumar,41.5M
http://pbs.twimg.com/profile_images/1395858482553757696/9_2OqRnn_200x200.jpg,KylieJenner,38.6M
http://pbs.twimg.com/profile_images/1369205516417830921/ahm2iuOc_200x200.jpg,FCBarcelona,36.9M
http://pbs.twimg.com/profile_images/1398309785217519620/8IoaIlX3_200x200.jpg,wizkhalifa,36.3M
http://pbs.twimg.com/profile_images/1392725496949985280/HFSIv0dr_200x200.jpg,sachin_rt,35.5M
http://pbs.twimg.com/profile_images/1073607078109949957/74oimLX4_200x200.jpg,ChampionsLeague,35M
http://pbs.twimg.com/profile_images/1044693697533804546/Z2MiD-wP_200x200.jpg,LilTunechi,34.8M
http://pbs.twimg.com/profile_images/1403911179031003139/lppY5IL7_200x200.jpg,NBA,33.5M
http://pbs.twimg.com/profile_images/859982100904148992/hv5soju7_200x200.jpg,POTUS,33.4M
http://pbs.twimg.com/profile_images/1387771395275436050/hohwSjOu_200x200.jpg,Pink,31.6M
http://pbs.twimg.com/profile_images/1166471091663122433/5ULjGFJS_200x200.jpg,iHrithik,30.5M
http://pbs.twimg.com/profile_images/1396517028400275467/0iry9dcD_200x200.jpg,khloekardashian,29.3M
http://pbs.twimg.com/profile_images/1344886403444817920/uvBOq5Wc_200x200.jpg,deepikapadukone,27.7M
http://pbs.twimg.com/profile_images/1403400684226052098/ZJ4cQ2Bb_200x200.jpg,priyankachopra,27.2M
http://pbs.twimg.com/profile_images/1399696850798710786/09t5pXh8_200x200.jpg,NFL,26.7M
http://pbs.twimg.com/profile_images/1059888693945630720/yex0Gcbi_200x200.jpg,WhiteHouse,26M
http://pbs.twimg.com/profile_images/1180491411172413440/AunoqDQW_200x200.jpg,AmitShah,26M
http://pbs.twimg.com/profile_images/1394336986480234500/_V4lmg8r_200x200.jpg,ManUtd,25.7M
http://pbs.twimg.com/profile_images/1209988634184581120/Bu95OE_R_200x200.jpg,arrahman,23.7M
http://pbs.twimg.com/profile_images/1389264116502704131/arWiuiOR_200x200.jpg,coldplay,23M
http://pbs.twimg.com/profile_images/945853608389574656/REH_LpUJ_200x200.jpg,ArvindKejriwal,22.6M
http://pbs.twimg.com/profile_images/1397933191344791560/ovmcd_a0_200x200.jpg,AnushkaSharma,22.4M
http://pbs.twimg.com/profile_images/1395354312809668608/s2haWHgC_200x200.jpg,NICKIMINAJ,22.3M
http://pbs.twimg.com/profile_images/1025374083595350022/9nKlG5Nm_200x200.jpg,virendersehwag,22M
http://pbs.twimg.com/profile_images/1335939208595329025/6pVApHxk_200x200.jpg,davidguetta,20.4M
http://pbs.twimg.com/profile_images/1402395088358084615/y-As1wLd_200x200.jpg,ricky_martin,20.3M
http://pbs.twimg.com/profile_images/1306500843370291201/UcZ0X5be_200x200.jpg,BigHitEnt,19.9M
http://pbs.twimg.com/profile_images/1162394412845944832/iruV4hUN_200x200.jpg,SnoopDogg,19.2M
http://pbs.twimg.com/profile_images/1394646637004431361/43eyqnqr_200x200.jpg,RahulGandhi,19M
http://pbs.twimg.com/profile_images/767862037921738752/79mqV-6l_200x200.jpg,ImRo45,19M
http://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_200x200.jpg,WSJ,18.8M
http://pbs.twimg.com/profile_images/1391568743822675970/C0JGWa2I_200x200.jpg,ImRaina,18.8M
http://pbs.twimg.com/profile_images/1393266292547678210/ILl9nC7E_200x200.jpg,AnupamPKher,18.7M
http://pbs.twimg.com/profile_images/1377062766314467332/2hyqngJz_200x200.jpg,KamalaHarris,18.5M
http://pbs.twimg.com/profile_images/1152215560869953536/mSjwFhbF_200x200.jpg,KapilSharmaK9,18.1M
http://pbs.twimg.com/profile_images/1299844050208555008/7wMQaJRA_200x200.jpg,VancityReynolds,17.7M
http://pbs.twimg.com/profile_images/1396789227820572672/TYF9d1NE_200x200.jpg,Arsenal,17.5M
http://pbs.twimg.com/profile_images/1389476794533924864/QQUYKvAX_200x200.png,LFC,17.4M
http://pbs.twimg.com/profile_images/1368797276907302913/ZdE0r0Zu_200x200.jpg,karanjohar,17.2M
http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_200x200.jpg,SpaceX,17.2M
http://pbs.twimg.com/profile_images/1401916430937903109/N4C38Y2F_200x200.jpg,ChelseaFC,17.1M
http://pbs.twimg.com/profile_images/1106672424605630465/IC9ipKIt_200x200.png,Forbes,16.9M
http://pbs.twimg.com/profile_images/1401006308367667201/AVch0osP_200x200.jpg,MTV,16.7M
http://pbs.twimg.com/profile_images/1082358814819536896/19QbYCgF_200x200.jpg,ABC,16.6M
http://pbs.twimg.com/profile_images/848946510918295557/RmsOl1zv_200x200.jpg,FLOTUS,16.4M
http://pbs.twimg.com/profile_images/1353806309397655553/0zEtkDvx_200x200.jpg,RobertDowneyJr,16.4M
http://pbs.twimg.com/profile_images/812531108092874753/frVON4bm_200x200.jpg,BJP4India,16.2M
http://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_200x200.png,ndtv,15.7M
http://pbs.twimg.com/profile_images/1327534044695859201/T_EQP686_200x200.jpg,juniorbachchan,15.4M
http://pbs.twimg.com/profile_images/1262705213837725696/4sWrMaPa_200x200.jpg,shahidkapoor,15.3M
http://pbs.twimg.com/profile_images/3478244961/01ebfc40ecc194a2abc81e82ab877af4_200x200.jpeg,TheRock,15.2M
http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_200x200.png,AP,15.2M
http://pbs.twimg.com/profile_images/1362891881730899968/DwKFmGKN_200x200.jpg,RyanSeacrest,15.1M
http://pbs.twimg.com/profile_images/1296059958459416577/mEtP0MTl_200x200.jpg,Asli_Jacqueline,15.1M
http://pbs.twimg.com/profile_images/378800000828197225/f1d53aeab8f0534c7d73b0fbd5651130_200x200.png,arunjaitley,14.9M
http://pbs.twimg.com/profile_images/1323550440571559936/Sa5crqyr_200x200.jpg,BCCI,14.5M
http://pbs.twimg.com/profile_images/1242859192303505408/8yGwwtxs_200x200.jpg,BigSean,14.3M
http://pbs.twimg.com/profile_images/1394999909150076933/RWsOtC3n_200x200.jpg,nickjonas,14.3M
http://pbs.twimg.com/profile_images/1380474232258240521/ODuoj6j5_200x200.jpg,ajaydevgn,14.3M
http://pbs.twimg.com/profile_images/1323749922005524485/LjJsuyU4_200x200.jpg,UN,14M
http://pbs.twimg.com/profile_images/921303478684790784/FLIFCZxh_200x200.jpg,rashtrapatibhvn,13.9M
http://pbs.twimg.com/profile_images/1257200125417451520/b4SrAMNH_200x200.jpg,johnlegend,13.9M
http://pbs.twimg.com/profile_images/1337073272492417024/fmOEGE1d_200x200.jpg,RanveerOfficial,13.9M
http://pbs.twimg.com/profile_images/1341671435635310592/p4vUY-nx_200x200.jpg,ShraddhaKapoor,13.9M
