ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
20142033,ted.europa.eu/udl?uri=TED:NOTICE:2033-2014:TEXT:EN:HTML,2014,3,30-DEC-13,R208.S2,0,0,,Lietuvos mokslinių bibliotekų asociacija,125712273,Gedimino pr. 51,Vilnius,01504,A2,LT,LT,,,6,,Education,N,,,S,,N,,,,72320000,72,,,N,4,1,16301.0,16301,16301,N,AWP,,0,L,100,,,N,1,6077985,1,,N,,Cambridge University Press,,The Edinburgh Biuilding; Shaftesbury Road; Cambridge; CB2 8RU,Cambridge,,UK,,1,Elektroninės mokslo duomenų bazės Cambridge Journals Online prenumeratos paslaugų pirkimas,1,,,,,,16301,16301,N,16-DEC-13
20142885,ted.europa.eu/udl?uri=TED:NOTICE:2885-2014:TEXT:EN:HTML,2014,3,02-JAN-14,R208.S2,0,0,,Generalinė prokuratūra,288603320,Rinktinės g. 5A,Vilnius,01515,A1,LT,LT,,,1,,Public Order and Safety,N,,,S,,N,,,,72243000,72,,,Y,4,1,120036.73,120036.73,120036.73,Y,OPE,,0,M,,Kaina---Funkcinės charakteristikos---Projekto įgyvendinimo planas,40---35---25,N,1,6079180,1,,N,,UAB „Idamas“,,Savanorių pr. 178,Vilnius,03154,LT,,1,Prokuratūros administracinės veiklos elektroninio biuro sistemos sukūrimo bei įdiegimo ir Informacinės prokuratūros sistemos bei Dokumentų valdymo sistemos modernizavimo pritaikant funkcionavimui šalia IBPS paslaugos,3,,,,,,120036.73,120036.73,Y,09-DEC-13
20142917,ted.europa.eu/udl?uri=TED:NOTICE:2917-2014:TEXT:EN:HTML,2014,3,02-JAN-14,R208.S2,0,0,,Lietuvos bankas,188607684,Gedimino pr. 6,Vilnius,01103,A1,LT,LT,,,1,,Economical anf Financial Affairs,N,,,S,LT00A,N,,,,72261000,72,,,Y,4,1,31525.0,31525,31525,N,NOC,,0,L,100,,,N,1,6079249,1,,N,,FQS Poland Sp. z o.o.,,ul. Parkowa 11,Krokuva,30-538,PL,,1,Programinės įrangos Interstage Xwand techninio aptarnavimo paslaugų pirkimas,1,,,,,,31525,31525,N,12-DEC-13
20142999,ted.europa.eu/udl?uri=TED:NOTICE:2999-2014:TEXT:EN:HTML,2014,3,02-JAN-14,R208.S2,0,0,,Jonavos rajono savivaldybės administracija,188769070,Žeimių g. 13,Jonava,55158,A2,LT,LT,,,3,,General public\services,N,,,S,,N,,,,72000000,72,,,Y,4,0,142695.78,142695.78,142695.78,N,OPE,,0,L,100,,,N,1,6079494,,,N,,UAB „Sistemų valdymo konsultacijos“,,Jogailos g. 9,Vilnius,01116,LT,,1,,1,,,,,,142695.78,142695.78,N,08-NOV-13
20145285,ted.europa.eu/udl?uri=TED:NOTICE:5285-2014:TEXT:EN:HTML,2014,3,06-JAN-14,R208.S2,0,0,,Labklājības ministrija,,Skolas iela 28,Rīga,1331,A1,LV,LV,,,1,,Social protection,N,,,S,LV006,N,,,,72260000,72,,,Y,1,0,,217601.2,217601.2,Y,OPE,,0,L,100,,,N,1,6083319,,,N,,SIA “Datakom”,,Vienības gatve 109,Rīga,1058,LV,,1,,2,,,,,257539.8,217601.2,217601.2,N,20-DEC-13
20147005,ted.europa.eu/udl?uri=TED:NOTICE:7005-2014:TEXT:EN:HTML,2014,3,06-JAN-14,R208.S2,0,0,,Vidaus reikalų ministerija — Bendrasis pagalbos centras,188787474,Švitrigailos g. 18,Vilnius,10302,A1,LT,LT,,,1,,Public Order and Safety,N,,,S,,N,,,,72250000,72,,,Y,1,1,2512868.46,2512868.46,2512868.46,N,OPE,,0,L,100,,,N,1,6086550,1,,N,,UAB „InnoForce“,,Žygio g. 97,Vilnius,08236,LT,,1,Bendrojo pagalbos centro informacinės sistemos aptarnavimo paslaugų teikimas,1,,,,,,2512868.46,2512868.46,N,04-DEC-13
20148398,ted.europa.eu/udl?uri=TED:NOTICE:8398-2014:TEXT:EN:HTML,2014,3,08-JAN-14,R208.S2,0,0,,UAB „Investicijų ir verslo garantijos“,110084026,Konstitucijos pr. 7,Vilnius,09308,A2,LT,LT,,,6,,Economical anf Financial Affairs,N,,,S,,N,,,,79340000,793,,,Y,1,1,405468.03,405468.03,405468.03,Y,OPE,,0,M,,Kaina---Kokybė---Kūrybingumas---Veiksmingumas,40---30---15---15,N,1,6088643,1,,N,,UAB „VIP Viešosios informacijos partneriai“,,Valančiaus g. 7,Vilnius,03158,LT,,1,INVEGOS veiklos viešinimo ir informavimo paslaugų pirkimas,7,,,,,,405468.03,405468.03,N,11-SEP-13
201411729,ted.europa.eu/udl?uri=TED:NOTICE:11729-2014:TEXT:EN:HTML,2014,3,10-JAN-14,R208.S2,0,0,,Lietuvos mokslinių bibliotekų asociacija,125712273,Gedimino pr. 51,Vilnius,01504,A2,LT,LT,,,8,,Education,N,,,S,,N,,,,72320000,72,,,Y,4,0,14552.3,14552.3,14552.3,Y,NOC,,0,L,100,,,N,1,6093019,,,N,,EBSCO Information Services GmbH,,Sachsendamm 2-7,Berlin,10829,DE,,1,,1,,,,,,14552.3,14552.3,N,16-DEC-13
201411963,ted.europa.eu/udl?uri=TED:NOTICE:11963-2014:TEXT:EN:HTML,2014,3,10-JAN-14,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,EE,Y,,Y,,72200000,72,,,Y,4,0,300000.0,300000,300000,N,OPE,,0,L,100,,,N,3,6093612,,,N,,Santa Monica Networks AS,,Lõõtsa 8,Tallinn,11415,EE,,1,,3,,,,,300000,,300000,,07-JAN-14
201411963,ted.europa.eu/udl?uri=TED:NOTICE:11963-2014:TEXT:EN:HTML,2014,3,10-JAN-14,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,EE,Y,,,,72200000,72,,,Y,4,0,300000.0,300000,300000,N,OPE,,0,L,100,,,N,3,6093612,,,N,,Santa Monica Networks AS,,Lõõtsa 8,Tallinn,11415,EE,,1,,3,,,,,300000,,300000,,07-JAN-14
