uri,publication_date,buyer,cpv,amount,currency,contractors
http://ted.europa.eu/udl?uri=TED:NOTICE:100277-2020:TEXT:SV:HTML,20200228,"Sinfra, Svensk Inköpscentral för Infrastruktur Ekonomisk förening, 716419-3323, Box 1026, Stockholm, 101 38, Magnus Pettersson, magnus.pettersson@sinfra.se, http://www.sinfra.se, Inköpscentral",43800000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:100449-2020:TEXT:EN:HTML,20200228,"Ålesund Kommune, 942 953 119, Keiser Wilhelmsgate 11, Ålesund, 6003, Gina Olsnes, gina.olsnes@alesund.kommune.no, http://www.alesund.kommune.no",39830000,,,"Ødegaard Engros AS, 976 485 750, Postboks 2099 Skarbøvik, Ålesund, 6028, odd.arne.madsen@norengros.no, http://www.norengros.no"
http://ted.europa.eu/udl?uri=TED:NOTICE:100450-2020:TEXT:EN:HTML,20200228,"Forsvarsmateriell, 916075855, Grev Wedels plass 1, Oslo, 0151, Ole Jan Skoglund, +47 67863787, olskoglund@mil.no, https://permalink.mercell.com/117427207.aspx, https://forsvaret.no/forsvarsmateriell",33192410,3130400.00,NOK,"Dental Sør AS, Saltverket 6, Mandal, 4515, +47 38278888, post@dentalnet.no, +47 38278889"
http://ted.europa.eu/udl?uri=TED:NOTICE:101302-2020:TEXT:FR:HTML,20200302,"Ville de Montpellier, numéro national d'identification: 21340172201787, 1 place Georges Frêche, Montpellier Cedex 2, 34263, Direction adjointe études, rédactions, procédures commande publique, +33 467348763, marches-publics@montpellier3m.fr, https://www.montpellier.fr, https://marches.montpellier3m.fr, Montpellier Méditerranée Métropole, 24340001700022, 50 place Zeus, CS 39556, Montpellier Cedex 2, 34961, Direction adjointe études, rédactions, procédures commande publique, marches-publics@montpellier3m.fr, https://www.montpellier.fr, https://marches.montpellier3m.fr",44510000,1400000,EUR,"Dubois, Lattes, 34970, Cévenole de Protection, Nîmes, 30900, Cévenole de Protection, Nîmes, 30900, Quincaillerie Angles, Rodez, 12033, Prolians Baurès, Montpellier, 34000"
http://ted.europa.eu/udl?uri=TED:NOTICE:101310-2020:TEXT:ES:HTML,20200302,"Servicio Madrileño de Salud – Hospital Universitario 12 de Octubre, Q2877010E, Avenida de Córdoba, s/n, Madrid, 28041, +34 913908913/8552, ucontratacion.hdoc@salud.madrid.org, +34 913908181, http://www.madrid.org/contratospublicos",33141420,160720.00,EUR,"Molnlycke Health Care, S. L., Madrid"
http://ted.europa.eu/udl?uri=TED:NOTICE:101329-2020:TEXT:CS:HTML,20200302,"Fakultní nemocnice Hradec Králové, 00179906, Sokolská 581, Hradec Králové - Nový Hradec Králové, 500 05, Ing. Vladimír Duchoň, +420 495832512, vladimir.duchon@fnhk.cz, https://www.fnhk.cz, https://www.egordion.cz/nabidkaGORDION/profilFNHK, Fakultní nemocnice Olomouc, 00098892, I. P. Pavlova 185/6, Olomouc, 779 00, Ing. Kateřina Ondráčková, MBA, katerina.ondrackova@fnol.cz, https://www.fnol.cz/, https://www.egordion.cz/nabidkaGORDION/profil/fnol, Fakultní nemocnice Brno, 65269705, Jihlavská 20, Brno - Bohunice, 625 00, PharmDr. Tatiana Holubová, MHA, holubova.tatiana@fnbrno.cz, https://www.fnbrno.cz/, https://www.egordion.cz/nabidkaGORDION/profilFNBrno",33673000,23238342.72,CZK,"Phoenix lékárenský velkoobchod, s.r.o., K pérovně 945/7, Praha 10 - Hostivař, 102 00"
http://ted.europa.eu/udl?uri=TED:NOTICE:101424-2020:TEXT:PL:HTML,20200302,"Samodzielny Publiczny Szpital Kliniczny nr 1 w Lublinie, ul. Staszica 16, Lublin, 20-081, Dorota Gąsiorowska, +48 815344610, dgasiorowska@spsk1.lublin.pl, https://portal.smartpzp.pl/spsk1, https://portal.smartpzp.pl/spsk1",33631600,131545.00,PLN,"Media-MED Sp. z o.o., ul. Promienistych 7, Kraków, 31-481"
http://ted.europa.eu/udl?uri=TED:NOTICE:101453-2020:TEXT:PL:HTML,20200302,"Szpital Wojewódzki im. dr. Ludwika Rydygiera w Suwałkach, 790319362, Szpitalna 60, Suwałki, 16-400, Wioletta Uździło, +48 875629582, zamowienia@szpital.suwalki.pl, +48 875629595, www.szpital.suwalki.pl, SP ZOZ",33100000,417610.95,PLN,"Biameditek Sp. z o.o., Białystok, 15-620, F.H.U. Euro-Medical Maciej Świda, Bielsk Podlaski, 43-300, Stryker Polska Sp. z o.o., Warszawa, 02-822, Olympus Polska Sp. z o.o., Warszawa, 02-677, anna.piotrowska@olympus-europa.com"
http://ted.europa.eu/udl?uri=TED:NOTICE:101486-2020:TEXT:LT:HTML,20200302,"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos, 135163499, Eivenių g. 2, Kaunas, LT-50161, Daiva Žvirblytė, +370 37326297, daiva.zvirblyte@kaunoklinikos.lt, http://www.kaunoklinikos.lt, https://pirkimai.eviesiejipirkimai.lt/ctm/Company/CompanyInformation/Index/2153",33192120,95391.36,EUR,"UAB „AE Medical“, 302591590, Šilutės pl. 2-401, Klaipėda, LT-91111, UAB „AE Medical“, 302591590, Šilutės pl. 2-401, Klaipėda, LT-91111, UAB „Taneta“, 152800158, Prienų g. 19, Birštonas, LT-59202"
http://ted.europa.eu/udl?uri=TED:NOTICE:101559-2020:TEXT:FR:HTML,20200302,"Centre hospitalier René Dubos, Établissement support du Groupement hospitalier de territoire Nord-Ouest Vexin Val d'Oise, 6 avenue de l'Île-de-France, Pontoise, 95300, +33 130754522, gaelle.bartoni@ght-novo.fr, +33 130755055, http://www.ch-pontoise.fr, http://www.marches-publics.gouv.fr",33195110,66800,EUR,"Sol France, ZI des Béthunes — 8 rue du Compas, Saint-Ouen-l'Aumône, 95310, commercial.medical@solfrance.com"
